time,phase,speed,incline
1,1,0,-10
2,1,0,-10
3,1,0,-10
4,1,0,-10
5,1,0,-10
6,1,0,-10
7,1,0,-10
8,1,0,-10
9,2,6,-10
10,2,6,-10
11,2,6,-10
12,3,9,-10
13,3,9,-10
14,3,9,-10
15,4,12,-10
16,4,12,-10
17,4,12,-10
18,5,15,-10
19,5,15,-10
20,5,15,-10
21,6,18,-10
22,6,18,-10
23,6,18,-10
24,6,18,-10
25,6,18,-10
26,6,18,-10
27,6,18,-10
28,6,18,-10
29,6,18,-10
30,6,18,-10
31,6,18,-10
32,6,18,-10
33,6,18,-10
34,6,18,-10
35,6,18,-10
36,6,18,-10
37,6,18,-10
38,6,18,-10
39,6,18,-10
40,6,18,-10
41,6,18,-10
42,6,18,-10
43,6,18,-10
44,6,18,-10
45,6,18,-10
46,6,18,-10
47,6,18,-10
48,6,18,-10
49,6,18,-10
50,6,18,-10
51,6,18,-10
52,6,18,-10
53,6,18,-10
54,6,18,-10
55,6,18,-10
56,6,18,-10
57,6,18,-10
58,6,18,-10
59,6,18,-10
60,6,18,-10
61,6,18,-10
62,6,18,-10
63,6,18,-10
64,6,18,-10
65,6,18,-10
66,6,18,-10
67,6,18,-10
68,6,18,-10
69,6,18,-10
70,6,18,-10
71,6,18,-10
72,6,18,-10
73,6,18,-10
74,6,18,-10
75,6,18,-10
76,6,18,-10
77,6,18,-10
78,6,18,-10
79,6,18,-10
80,6,18,-10
