,frame,Unnamed: 0,xmin,time,mouse,running,phase,speed,velocity,velocity_new,work_per_kg,,,work_per_kg,mass,External Work (J),% Time Running
0,0,0,166.4392395,0,0,0,0,0,,,,,0,-624.9975953,23.6,14.74994325,21.17058312
1,30,2,83.37524414,0.016666667,0,1,1,0,-16.61279907,-16.61279907,-0.282708664,,1,-423.6852044,21.9,9.278705977,16.26139818
2,60,6,85.7532196,0.033333333,0,0,1,0,0.475595093,0.475595093,0,,,,,,
3,90,9,87.6791153,0.05,0,0,1,0,0.385179138,0.385179138,0,,,,,,
4,120,12,88.31435394,0.066666667,0,0,1,0,0.127047729,0.127047729,0,,,,,,
5,150,16,89.22605896,0.083333333,0,0,1,0,0.182341003,0.182341003,0,,,,,,
6,180,19,88.56141663,0.1,0,1,1,0,-0.132928467,-0.132928467,-0.002262113,,,,,,
7,210,22,88.20214081,0.116666667,0,1,1,0,-0.071855164,-0.071855164,-0.001222797,,,,,,
8,240,25,88.76959991,0.133333333,0,0,1,0,0.113491821,0.113491821,0,,,,,,
9,270,28,88.83493042,0.15,0,0,1,0,0.013066101,0.013066101,0,,,,,,
10,300,31,88.8527832,0.166666667,0,0,1,0,0.003570557,0.003570557,0,,,,,,
11,330,34,88.54032898,0.183333333,0,1,1,0,-0.062490845,-0.062490845,-0.001063439,,,,,,
12,360,37,88.44898987,0.2,0,1,1,0,-0.018267822,-0.018267822,-0.000310873,,,,,,
13,390,40,88.90960693,0.216666667,0,0,1,0,0.092123413,0.092123413,0,,,,,,
14,420,43,89.06005859,0.233333333,0,0,1,0,0.030090332,0.030090332,0,,,,,,
15,450,46,88.6955719,0.25,0,1,1,0,-0.072897339,-0.072897339,-0.001240532,,,,,,
16,480,49,89.17427063,0.266666667,0,0,1,0,0.095739746,0.095739746,0,,,,,,
17,510,52,88.93481445,0.283333333,0,1,1,0,-0.047891235,-0.047891235,-0.00081499,,,,,,
18,540,55,88.98516083,0.3,0,0,1,0,0.010069275,0.010069275,0,,,,,,
19,570,57,88.98706055,0.316666667,0,0,1,0,0.000379944,0.000379944,0,,,,,,
20,600,61,89.59477997,0.333333333,0,0,1,0,0.121543884,0.121543884,0,,,,,,
21,630,64,88.85583496,0.35,0,1,1,0,-0.147789001,-0.147789001,-0.002515002,,,,,,
22,660,67,89.57446289,0.366666667,0,0,1,0,0.143725586,0.143725586,0,,,,,,
23,690,70,89.50231171,0.383333333,0,1,1,0,-0.014430237,-0.014430237,-0.000245567,,,,,,
24,720,73,89.31066895,0.4,0,1,1,0,-0.038328552,-0.038328552,-0.000652257,,,,,,
25,750,75,89.29057312,0.416666667,0,1,1,0,-0.004019165,-0.004019165,-6.84E-05,,,,,,
26,780,79,89.42992401,0.433333333,0,0,1,0,0.027870178,0.027870178,0,,,,,,
27,810,82,89.54476929,0.45,0,0,1,0,0.022969055,0.022969055,0,,,,,,
28,840,85,89.91736603,0.466666667,0,0,1,0,0.074519348,0.074519348,0,,,,,,
29,870,88,89.08584595,0.483333333,0,1,1,0,-0.166304016,-0.166304016,-0.002830082,,,,,,
30,900,91,89.31284332,0.5,0,0,1,0,0.045399475,0.045399475,0,,,,,,
31,930,93,89.78955078,0.516666667,0,0,1,0,0.095341492,0.095341492,0,,,,,,
32,960,95,89.84141541,0.533333333,0,0,1,0,0.010372925,0.010372925,0,,,,,,
33,990,98,89.06880951,0.55,0,1,1,0,-0.154521179,-0.154521179,-0.002629567,,,,,,
34,1020,100,89.44049072,0.566666667,0,0,1,0,0.074336243,0.074336243,0,,,,,,
35,1050,102,89.26650238,0.583333333,0,1,1,0,-0.034797668,-0.034797668,-0.00059217,,,,,,
36,1080,105,88.77241516,0.6,0,1,1,0,-0.098817444,-0.098817444,-0.001681628,,,,,,
37,1110,108,89.08297729,0.616666667,0,0,1,0,0.062112427,0.062112427,0,,,,,,
38,1140,112,89.46142578,0.633333333,0,0,1,0,0.075689697,0.075689697,0,,,,,,
39,1170,115,89.43373108,0.65,0,1,1,0,-0.00553894,-0.00553894,-9.43E-05,,,,,,
40,1200,118,89.89550018,0.666666667,0,0,1,0,0.092353821,0.092353821,0,,,,,,
41,1230,121,89.67408752,0.683333333,0,1,1,0,-0.044282532,-0.044282532,-0.000753579,,,,,,
42,1260,123,90.02236938,0.7,0,0,1,0,0.069656372,0.069656372,0,,,,,,
43,1290,126,89.77744293,0.716666667,0,1,1,0,-0.048985291,-0.048985291,-0.000833608,,,,,,
44,1320,128,89.92852783,0.733333333,0,0,1,0,0.03021698,0.03021698,0,,,,,,
45,1350,130,89.84120941,0.75,0,1,1,0,-0.017463684,-0.017463684,-0.000297189,,,,,,
46,1380,133,89.78683472,0.766666667,0,1,1,0,-0.010874939,-0.010874939,-0.000185065,,,,,,
47,1410,135,89.23312378,0.783333333,0,1,1,0,-0.110742188,-0.110742188,-0.001884558,,,,,,
48,1440,138,89.84599304,0.8,0,0,1,0,0.122573853,0.122573853,0,,,,,,
49,1470,141,89.79701996,0.816666667,0,1,1,0,-0.009794617,-0.009794617,-0.00016668,,,,,,
50,1500,144,89.72937012,0.833333333,0,1,1,0,-0.013529968,-0.013529968,-0.000230247,,,,,,
51,1530,147,89.49853516,0.85,0,1,1,0,-0.046166992,-0.046166992,-0.000785648,,,,,,
52,1560,150,89.04497528,0.866666667,0,1,1,0,-0.090711975,-0.090711975,-0.001543693,,,,,,
53,1590,153,89.12109375,0.883333333,0,0,1,0,0.015223694,0.015223694,0,,,,,,
54,1620,156,90.06777191,0.9,0,0,1,0,0.189335632,0.189335632,0,,,,,,
55,1650,158,89.00327301,0.916666667,0,1,1,0,-0.21289978,-0.21289978,-0.003623027,,,,,,
56,1680,161,89.52632141,0.933333333,0,0,1,0,0.10460968,0.10460968,0,,,,,,
57,1710,164,89.85292053,0.95,0,0,1,0,0.065319824,0.065319824,0,,,,,,
58,1740,167,89.86071777,0.966666667,0,0,1,0,0.001559448,0.001559448,0,,,,,,
59,1770,170,89.59656525,0.983333333,0,1,1,0,-0.052830505,-0.052830505,-0.000899044,,,,,,
60,1800,173,89.44270325,1,0,1,1,0,-0.0307724,-0.0307724,-0.00052367,,,,,,
61,1830,176,89.65103149,1.016666667,0,0,1,0,0.041665649,0.041665649,0,,,,,,
62,1860,178,89.24621582,1.033333333,0,1,1,0,-0.080963135,-0.080963135,-0.001377792,,,,,,
63,1890,181,89.37571716,1.05,0,0,1,0,0.025900269,0.025900269,0,,,,,,
64,1920,184,89.80786896,1.066666667,0,0,1,0,0.086430359,0.086430359,0,,,,,,
65,1950,187,89.64545441,1.083333333,0,1,1,0,-0.03248291,-0.03248291,-0.000552779,,,,,,
66,1980,190,89.47216034,1.1,0,1,1,0,-0.034658813,-0.034658813,-0.000589807,,,,,,
67,2010,193,90.48779297,1.116666667,0,0,1,0,0.203126526,0.203126526,0,,,,,,
68,2040,196,88.67090607,1.133333333,0,1,1,0,-0.36337738,-0.36337738,-0.006183782,,,,,,
69,2070,199,89.51891327,1.15,0,0,1,0,0.16960144,0.16960144,0,,,,,,
70,2100,202,89.12229919,1.166666667,0,1,1,0,-0.079322815,-0.079322815,-0.001349878,,,,,,
71,2130,205,88.87924957,1.183333333,0,1,1,0,-0.048609924,-0.048609924,-0.00082722,,,,,,
72,2160,208,95.19577026,1.2,0,0,1,0,1.263304138,1.263304138,0,,,,,,
73,2190,211,110.7974548,1.216666667,0,0,1,0,3.120336914,3.120336914,0,,,,,,
74,2220,214,114.7986832,1.233333333,0,0,1,0,0.800245667,0.800245667,0,,,,,,
75,2250,216,120.8857803,1.25,0,0,1,0,1.217419434,1.217419434,0,,,,,,
76,2280,219,128.7987823,1.266666667,0,0,1,0,1.582600403,1.582600403,0,,,,,,
77,2310,220,127.9159546,1.283333333,0,1,1,0,-0.176565552,-0.176565552,-0.003004708,,,,,,
78,2340,222,119.5948105,1.3,0,1,1,0,-1.664228821,-1.664228821,-0.02832105,,,,,,
79,2370,225,119.9927216,1.316666667,0,0,1,0,0.079582214,0.079582214,0,,,,,,
80,2400,228,119.6299133,1.333333333,0,1,1,0,-0.072561646,-0.072561646,-0.001234819,,,,,,
81,2430,231,118.8281555,1.35,0,1,1,0,-0.160351563,-0.160351563,-0.002728786,,,,,,
82,2460,234,115.8219681,1.366666667,0,1,1,0,-0.601237488,-0.601237488,-0.010231572,,,,,,
83,2490,237,114.6194992,1.383333333,0,1,1,0,-0.240493774,-0.240493774,-0.004092608,,,,,,
84,2520,240,121.1222229,1.4,0,0,1,0,1.300544739,1.300544739,0,,,,,,
85,2550,0,166.4392395,1.416666667,0,0,1,0,9.06340332,9.06340332,0,,,,,,
86,2580,244,138.1953278,1.433333333,0,1,1,0,-5.648782349,-5.648782349,-0.096128275,,,,,,
87,2610,245,138.3585815,1.45,0,0,1,0,0.032650757,0.032650757,0,,,,,,
88,2640,247,111.8258057,1.466666667,0,1,1,0,-5.306555176,-5.306555176,-0.090304416,,,,,,
89,2670,249,98.82743073,1.483333333,0,1,1,0,-2.599674988,-2.599674988,-0.044240025,,,,,,
90,2700,252,77.88018799,1.5,0,1,1,0,-4.189448547,-4.189448547,-0.07129403,,,,,,
91,2730,255,63.95819855,1.516666667,0,1,1,0,-2.784397888,-2.784397888,-0.047383551,,,,,,
92,2760,258,59.53398132,1.533333333,0,1,1,0,-0.884843445,-0.884843445,-0.015057842,,,,,,
93,2790,260,85.57439423,1.55,0,0,1,0,5.208082581,5.208082581,0,,,,,,
94,2820,263,85.41767883,1.566666667,0,1,1,0,-0.031343079,-0.031343079,-0.000533382,,,,,,
95,2850,266,90.39006042,1.583333333,0,0,1,0,0.994476318,0.994476318,0,,,,,,
96,2880,269,86.44808197,1.6,0,1,1,0,-0.788395691,-0.788395691,-0.013416541,,,,,,
97,2910,272,88.81507111,1.616666667,0,0,1,0,0.473397827,0.473397827,0,,,,,,
98,2940,275,84.95150757,1.633333333,0,1,1,0,-0.772712708,-0.772712708,-0.013149655,,,,,,
99,2970,277,88.954422,1.65,0,0,1,0,0.800582886,0.800582886,0,,,,,,
100,3000,279,89.19493103,1.666666667,0,0,1,0,0.048101807,0.048101807,0,,,,,,
101,3030,282,87.53035736,1.683333333,0,1,1,0,-0.332914734,-0.332914734,-0.005665384,,,,,,
102,3060,284,86.38818359,1.7,0,1,1,0,-0.228434753,-0.228434753,-0.003887393,,,,,,
103,3090,287,86.2279892,1.716666667,0,1,1,0,-0.032038879,-0.032038879,-0.000545222,,,,,,
104,3120,290,86.33283997,1.733333333,0,0,1,0,0.020970154,0.020970154,0,,,,,,
105,3150,292,85.7285614,1.75,0,1,1,0,-0.120855713,-0.120855713,-0.002056665,,,,,,
106,3180,295,85.16403961,1.766666667,0,1,1,0,-0.112904358,-0.112904358,-0.001921352,,,,,,
107,3210,297,83.83123016,1.783333333,0,1,1,0,-0.26656189,-0.26656189,-0.004536223,,,,,,
108,3240,0,166.4392395,1.8,0,0,1,0,16.52160187,16.52160187,0,,,,,,
109,3270,304,59.05525208,1.816666667,0,1,1,0,-21.47679749,-21.47679749,-0.365481861,,,,,,
110,3300,307,58.26766968,1.833333333,0,1,1,0,-0.157516479,-0.157516479,-0.00268054,,,,,,
111,3330,310,73.27427673,1.85,0,0,1,0,3.001321411,3.001321411,0,,,,,,
112,3360,312,86.9098053,1.866666667,0,0,1,0,2.727105713,2.727105713,0,,,,,,
113,3390,315,87.20767212,1.883333333,0,0,1,0,0.059573364,0.059573364,0,,,,,,
114,3420,318,89.36363983,1.9,0,0,1,0,0.431193542,0.431193542,0,,,,,,
115,3450,321,88.08101654,1.916666667,0,1,1,0,-0.256524658,-0.256524658,-0.004365414,,,,,,
116,3480,323,87.94486237,1.933333333,0,1,1,0,-0.027230835,-0.027230835,-0.000463401,,,,,,
117,3510,326,88.25054932,1.95,0,0,1,0,0.06113739,0.06113739,0,,,,,,
118,3540,328,86.94490051,1.966666667,0,1,1,0,-0.261129761,-0.261129761,-0.004443781,,,,,,
119,3570,331,87.78193665,1.983333333,0,0,1,0,0.167407227,0.167407227,0,,,,,,
120,3600,334,87.42903137,2,0,1,1,0,-0.070581055,-0.070581055,-0.001201115,,,,,,
121,3630,336,87.9282074,2.016666667,0,0,1,0,0.099835205,0.099835205,0,,,,,,
122,3660,339,87.865242,2.033333333,0,1,1,0,-0.012593079,-0.012593079,-0.000214303,,,,,,
123,3690,342,87.47385406,2.05,0,1,1,0,-0.078277588,-0.078277588,-0.001332091,,,,,,
124,3720,345,87.80793762,2.066666667,0,0,1,0,0.066816711,0.066816711,0,,,,,,
125,3750,348,86.54805756,2.083333333,0,1,1,0,-0.251976013,-0.251976013,-0.004288007,,,,,,
126,3780,350,86.2299881,2.1,0,1,1,0,-0.063613892,-0.063613892,-0.001082551,,,,,,
127,3810,353,87.72592163,2.116666667,0,0,1,0,0.299186707,0.299186707,0,,,,,,
128,3840,357,88.00028992,2.133333333,0,0,1,0,0.054873657,0.054873657,0,,,,,,
129,3870,360,86.95635223,2.15,0,1,1,0,-0.208787537,-0.208787537,-0.003553046,,,,,,
130,3900,362,85.96894073,2.166666667,0,1,1,0,-0.1974823,-0.1974823,-0.003360659,,,,,,
131,3930,365,87.1866684,2.183333333,0,0,1,0,0.243545532,0.243545532,0,,,,,,
132,3960,368,83.85998535,2.2,0,1,1,0,-0.665336609,-0.665336609,-0.01132238,,,,,,
133,3990,372,96.66693115,2.216666667,0,0,1,0,2.56138916,2.56138916,0,,,,,,
